prod_reg_id,date,value
pas_15,2015-11-01,33481000000.0
pas_16,2015-11-01,32602000000.0
pas_0,2015-12-01,10952000000.0
pas_1,2015-12-01,4487000000.0
pas_2,2015-12-01,6687000000.0
pas_3,2015-12-01,15537000000.0
pas_4,2015-12-01,3434000000.0
pas_5,2015-12-01,442116000000.0
pas_6,2015-12-01,11184000000.0
pas_7,2015-12-01,1359000000.0
pas_8,2015-12-01,545000000.0
pas_9,2015-12-01,5567000000.0
pas_10,2015-12-01,3463000000.0
pas_11,2015-12-01,17946000000.0
pas_12,2015-12-01,5905000000.0
pas_13,2015-12-01,473000000.0
pas_17,2015-12-01,1536000000.0
pas_14,2015-12-01,168000000.0
pas_15,2015-12-01,33041000000.0
pas_16,2015-12-01,34254000000.0
pas_0,2016-01-01,10976000000.0
pas_1,2016-01-01,5633000000.0
pas_2,2016-01-01,10306000000.0
pas_3,2016-01-01,22832000000.0
pas_4,2016-01-01,3742000000.0
pas_5,2016-01-01,467238000000.0
pas_6,2016-01-01,18226000000.0
pas_7,2016-01-01,1941000000.0
pas_8,2016-01-01,701000000.0
pas_9,2016-01-01,9711000000.0
pas_10,2016-01-01,6465000000.0
pas_11,2016-01-01,18943000000.0
pas_12,2016-01-01,9332000000.0
pas_13,2016-01-01,601000000.0
pas_17,2016-01-01,3007000000.0
pas_14,2016-01-01,131000000.0
pas_15,2016-01-01,34740000000.0
pas_16,2016-01-01,38639000000.0
pas_0,2016-02-01,9698000000.0
pas_1,2016-02-01,5272000000.0
pas_2,2016-02-01,6793000000.0
pas_3,2016-02-01,18276000000.0
pas_4,2016-02-01,3347000000.0
pas_5,2016-02-01,485023000000.0
pas_6,2016-02-01,13970000000.0
pas_7,2016-02-01,1863000000.0
pas_8,2016-02-01,715000000.0
pas_9,2016-02-01,8990000000.0
pas_10,2016-02-01,3116000000.0
pas_11,2016-02-01,18646000000.0
pas_12,2016-02-01,7234000000.0
pas_13,2016-02-01,586000000.0
pas_17,2016-02-01,1908000000.0
pas_14,2016-02-01,161000000.0
pas_15,2016-02-01,28461000000.0
pas_16,2016-02-01,35483000000.0
pas_0,2016-03-01,9548000000.0
pas_1,2016-03-01,4973000000.0
pas_2,2016-03-01,6422000000.0
pas_3,2016-03-01,13478000000.0
pas_4,2016-03-01,3521000000.0
pas_5,2016-03-01,497271000000.0
pas_6,2016-03-01,11206000000.0
pas_7,2016-03-01,1656000000.0
pas_8,2016-03-01,590000000.0
pas_9,2016-03-01,8320000000.0
pas_10,2016-03-01,3517000000.0
pas_11,2016-03-01,17859000000.0
pas_12,2016-03-01,7102000000.0
pas_13,2016-03-01,560000000.0
pas_17,2016-03-01,2034000000.0
pas_14,2016-03-01,140000000.0
pas_15,2016-03-01,28835000000.0
pas_16,2016-03-01,36835000000.0
pas_0,2016-04-01,9635000000.0
pas_1,2016-04-01,6147000000.0
pas_2,2016-04-01,6341000000.0
pas_3,2016-04-01,22562000000.0
pas_4,2016-04-01,3401000000.0
pas_5,2016-04-01,467576000000.0
pas_6,2016-04-01,11804000000.0
pas_7,2016-04-01,1599000000.0
pas_8,2016-04-01,460000000.0
pas_9,2016-04-01,8769000000.0
pas_10,2016-04-01,3588000000.0
pas_11,2016-04-01,18224000000.0
pas_12,2016-04-01,9931000000.0
pas_13,2016-04-01,554000000.0
pas_17,2016-04-01,1616000000.0
pas_14,2016-04-01,94000000.0
pas_15,2016-04-01,32836000000.0
pas_16,2016-04-01,35677000000.0
pas_0,2016-05-01,10191000000.0
pas_1,2016-05-01,5880000000.0
pas_2,2016-05-01,6991000000.0
pas_3,2016-05-01,24688000000.0
pas_4,2016-05-01,3799000000.0
pas_5,2016-05-01,496938000000.0
pas_6,2016-05-01,14341000000.0
pas_7,2016-05-01,1784000000.0
pas_8,2016-05-01,451000000.0
pas_9,2016-05-01,7647000000.0
pas_10,2016-05-01,4265000000.0
pas_11,2016-05-01,33077000000.0
pas_12,2016-05-01,9557000000.0
pas_13,2016-05-01,525000000.0
pas_17,2016-05-01,1593000000.0
pas_14,2016-05-01,196000000.0
pas_15,2016-05-01,34549000000.0
pas_16,2016-05-01,39898000000.0
pas_0,2016-06-01,9400000000.0
pas_1,2016-06-01,5101000000.0
pas_2,2016-06-01,7162000000.0
pas_3,2016-06-01,16611000000.0
pas_4,2016-06-01,4448000000.0
pas_5,2016-06-01,483876000000.0
pas_6,2016-06-01,13973000000.0
pas_7,2016-06-01,1533000000.0
pas_8,2016-06-01,528000000.0
pas_9,2016-06-01,7963000000.0
pas_10,2016-06-01,5701000000.0
pas_11,2016-06-01,33321000000.0
pas_12,2016-06-01,9387000000.0
pas_13,2016-06-01,489000000.0
pas_17,2016-06-01,1432000000.0
pas_14,2016-06-01,209000000.0
pas_15,2016-06-01,38454000000.0
pas_16,2016-06-01,37294000000.0
pas_0,2016-07-01,10028000000.0
pas_1,2016-07-01,4568000000.0
pas_2,2016-07-01,7979000000.0
pas_3,2016-07-01,16144000000.0
pas_4,2016-07-01,4128000000.0
pas_5,2016-07-01,462563000000.0
pas_6,2016-07-01,12572000000.0
pas_7,2016-07-01,1669000000.0
pas_8,2016-07-01,579000000.0
pas_9,2016-07-01,2020000000.0
pas_10,2016-07-01,5543000000.0
pas_11,2016-07-01,35410000000.0
pas_12,2016-07-01,9141000000.0
pas_13,2016-07-01,423000000.0
pas_17,2016-07-01,3484000000.0
pas_14,2016-07-01,214000000.0
pas_15,2016-07-01,40810000000.0
pas_16,2016-07-01,38302000000.0
pas_0,2016-08-01,10618000000.0
pas_1,2016-08-01,6213000000.0
pas_2,2016-08-01,7636000000.0
pas_3,2016-08-01,26048000000.0
pas_4,2016-08-01,5430000000.0
pas_5,2016-08-01,450302000000.0
pas_6,2016-08-01,14297000000.0
pas_7,2016-08-01,1557000000.0
pas_8,2016-08-01,515000000.0
pas_9,2016-08-01,7561000000.0
pas_10,2016-08-01,4376000000.0
pas_11,2016-08-01,32383000000.0
pas_12,2016-08-01,10521000000.0
pas_13,2016-08-01,385000000.0
pas_17,2016-08-01,3310000000.0
pas_14,2016-08-01,214000000.0
pas_15,2016-08-01,43545000000.0
pas_16,2016-08-01,44559000000.0
pas_0,2016-09-01,11726000000.0
pas_1,2016-09-01,6288000000.0
pas_2,2016-09-01,8804000000.0
pas_3,2016-09-01,22672000000.0
pas_4,2016-09-01,5519000000.0
pas_5,2016-09-01,451333000000.0
pas_6,2016-09-01,13880000000.0
pas_7,2016-09-01,1564000000.0
pas_8,2016-09-01,467000000.0
pas_9,2016-09-01,7751000000.0
pas_10,2016-09-01,3730000000.0
pas_11,2016-09-01,33196000000.0
pas_12,2016-09-01,9662000000.0
pas_13,2016-09-01,342000000.0
pas_17,2016-09-01,3569000000.0
pas_14,2016-09-01,217000000.0
pas_15,2016-09-01,44531000000.0
pas_16,2016-09-01,47385000000.0
pas_0,2016-10-01,10296000000.0
pas_1,2016-10-01,6048000000.0
pas_2,2016-10-01,9535000000.0
pas_3,2016-10-01,14597000000.0
pas_4,2016-10-01,5046000000.0
pas_5,2016-10-01,450165000000.0
pas_6,2016-10-01,16853000000.0
pas_7,2016-10-01,1893000000.0
pas_8,2016-10-01,471000000.0
pas_9,2016-10-01,6724000000.0
pas_10,2016-10-01,5703000000.0
pas_11,2016-10-01,34276000000.0
pas_12,2016-10-01,10597000000.0
pas_13,2016-10-01,301000000.0
pas_17,2016-10-01,1886000000.0
pas_14,2016-10-01,116000000.0
pas_15,2016-10-01,47055000000.0
pas_16,2016-10-01,52698000000.0
pas_0,2016-11-01,10744000000.0
pas_1,2016-11-01,6344000000.0
pas_2,2016-11-01,8117000000.0
pas_3,2016-11-01,19919000000.0
pas_4,2016-11-01,4937000000.0
pas_5,2016-11-01,415587000000.0
pas_6,2016-11-01,13397000000.0
pas_7,2016-11-01,1231000000.0
pas_8,2016-11-01,543000000.0
pas_9,2016-11-01,6607000000.0
pas_10,2016-11-01,5482000000.0
pas_11,2016-11-01,23968000000.0
pas_12,2016-11-01,9380000000.0
pas_13,2016-11-01,336000000.0
pas_17,2016-11-01,2639000000.0
pas_14,2016-11-01,485000000.0
pas_15,2016-11-01,46564000000.0
pas_16,2016-11-01,46761000000.0
pas_0,2016-12-01,11169000000.0
pas_1,2016-12-01,6069000000.0
pas_2,2016-12-01,10156000000.0
pas_3,2016-12-01,22196000000.0
pas_4,2016-12-01,6080000000.0
pas_5,2016-12-01,426726000000.0
pas_6,2016-12-01,14999000000.0
pas_7,2016-12-01,1874000000.0
pas_8,2016-12-01,525000000.0
pas_9,2016-12-01,6606000000.0
pas_10,2016-12-01,5914000000.0
pas_11,2016-12-01,30655000000.0
pas_12,2016-12-01,9187000000.0
pas_13,2016-12-01,259000000.0
pas_17,2016-12-01,2227000000.0
pas_14,2016-12-01,333000000.0
pas_15,2016-12-01,52252000000.0
pas_16,2016-12-01,44713000000.0
pas_0,2017-01-01,11818000000.0
pas_1,2017-01-01,8039000000.0
pas_2,2017-01-01,13092000000.0
pas_3,2017-01-01,31026000000.0
pas_4,2017-01-01,6706000000.0
pas_5,2017-01-01,454199000000.0
pas_6,2017-01-01,18789000000.0
pas_7,2017-01-01,1927000000.0
pas_8,2017-01-01,895000000.0
pas_9,2017-01-01,7502000000.0
pas_10,2017-01-01,8573000000.0
pas_11,2017-01-01,34342000000.0
pas_12,2017-01-01,14215000000.0
pas_13,2017-01-01,387000000.0
pas_17,2017-01-01,2878000000.0
pas_14,2017-01-01,343000000.0
pas_15,2017-01-01,55458000000.0
pas_16,2017-01-01,49980000000.0
pas_0,2017-02-01,11219000000.0
pas_1,2017-02-01,5992000000.0
pas_2,2017-02-01,11410000000.0
pas_3,2017-02-01,27404000000.0
pas_4,2017-02-01,5733000000.0
pas_5,2017-02-01,406608000000.0
pas_6,2017-02-01,15299000000.0
pas_7,2017-02-01,1597000000.0
pas_8,2017-02-01,798000000.0
pas_9,2017-02-01,6496000000.0
pas_10,2017-02-01,6570000000.0
pas_11,2017-02-01,21891000000.0
pas_12,2017-02-01,10371000000.0
pas_13,2017-02-01,388000000.0
pas_17,2017-02-01,2139000000.0
pas_14,2017-02-01,323000000.0
pas_15,2017-02-01,58425000000.0
pas_16,2017-02-01,44538000000.0
pas_0,2017-03-01,11140000000.0
pas_1,2017-03-01,6920000000.0
pas_2,2017-03-01,12392000000.0
pas_3,2017-03-01,14982000000.0
pas_4,2017-03-01,4834000000.0
pas_5,2017-03-01,403750000000.0
pas_6,2017-03-01,14404000000.0
pas_7,2017-03-01,1323000000.0
pas_8,2017-03-01,646000000.0
pas_9,2017-03-01,7067000000.0
pas_10,2017-03-01,5210000000.0
pas_11,2017-03-01,22667000000.0
pas_12,2017-03-01,11717000000.0
pas_13,2017-03-01,383000000.0
pas_17,2017-03-01,2531000000.0
pas_14,2017-03-01,301000000.0
pas_15,2017-03-01,59918000000.0
pas_16,2017-03-01,41464000000.0
pas_0,2017-04-01,11184000000.0
pas_1,2017-04-01,5707000000.0
pas_2,2017-04-01,11676000000.0
pas_3,2017-04-01,34731000000.0
pas_4,2017-04-01,4510000000.0
pas_5,2017-04-01,440289000000.0
pas_6,2017-04-01,15659000000.0
pas_7,2017-04-01,1594000000.0
pas_8,2017-04-01,612000000.0
pas_9,2017-04-01,6916000000.0
pas_10,2017-04-01,9082000000.0
pas_11,2017-04-01,27157000000.0
pas_12,2017-04-01,15413000000.0
pas_13,2017-04-01,327000000.0
pas_17,2017-04-01,2621000000.0
pas_14,2017-04-01,221000000.0
pas_15,2017-04-01,60139000000.0
pas_16,2017-04-01,42940000000.0
pas_0,2017-05-01,11463000000.0
pas_1,2017-05-01,5569000000.0
pas_2,2017-05-01,11325000000.0
pas_3,2017-05-01,16518000000.0
pas_4,2017-05-01,4898000000.0
pas_5,2017-05-01,425383000000.0
